require("Activity.ActivityType1")  --个人活动：副本类型活动
require("Activity.ActivityType2")  --个人活动：鉴定类型活动
require("Activity.ActivityType3")  --全局活动：竞技大乱斗
require("Activity.ActivityType4")  --个人活动：膜拜类活动
require("Activity.ActivityType6")  --全局活动：散财鹿类型活动
require("Activity.ActivityType5")  --全局活动：npc夺宝类
require("Activity.ActivityType7")  --全局活动：藏经峡谷类
require("Activity.ActivityType8")  --全局活动：世界boss
require("Activity.ActivityType9")  --全局活动：闯关
require("Activity.ActivityType10")  --全局活动：沙巴克(开服第四天后，每周三、周六)
require("Activity.ActivityType11")  --全局活动：夜战沃玛三
require("Activity.ActivityType12")  --个人活动：材料副本
require("Activity.ActivityType13")  --个人活动：驻守任务
require("Activity.ActivityType14")  --个人活动：材料副本
require("Activity.ActivityType15")  --个人活动：驻守任务
require("Activity.ActivityType16")  --全局活动：捐献排行
require("Activity.ActivityType17")  --全局活动：跨服竞技大乱斗
require("Activity.ActivityType21")  --全局活动：跨服沙巴克
require("Activity.ActivityType25")  --全局活动：世界boss
require("Activity.ActivityType26")  --全局活动：跨服逃脱试炼
require("Activity.ActivityType27")  --全局活动：沙巴克(开服第三天)
require("Activity.ActivityType28")  --全局活动：秘境打宝

require("Activity.ActivityType18")  --跨服夜战沃玛三
require("Activity.ActivityType19")  --跨服活动：跨服首领
require("Activity.ActivityType22")  --跨服入口
require("Activity.ActivityType23")  --跨服膜拜
require("Activity.ActivityType24")  --跨服活动完结

require("Activity.ActivityType10001")  --个人活动：累计充值
require("Activity.ActivityType10002")  --个人活动：特惠礼包
require("Activity.ActivityType10003")  --个人活动：首冲
require("Activity.ActivityType10004")  --个人活动：七天登录
require("Activity.ActivityType10005")  --个人活动：月份签到
require("Activity.ActivityType10006")  --个人活动：登录基金
require("Activity.ActivityType10009")  --个人活动：达标活动
require("Activity.ActivityType10010")  --个人活动：寻宝活动
require("Activity.ActivityType10011")  --玩法：YY大厅特权
require("Activity.ActivityType10012")  --玩法：YY会员
require("Activity.ActivityType10013")  --玩法：超玩会员
require("Activity.ActivityType10014")  --玩法：微信礼包
require("Activity.ActivityType10015")  --全局个人活动：每周固定时间的礼包活动
require("Activity.ActivityType10016")  --玩法：YY4366
require("Activity.ActivityType10017")  --兑换活动
require("Activity.ActivityQQHall")  --QQ大厅
require("Activity.ActivityType10019")  --
require("Activity.ActivityLuckyTree")  --
require("Activity.ActivityOnlineMin")  --
require("Activity.ActivityType10020")  --
require("Activity.ActivityType10021")  --个人活动：二充
require("Activity.ActivityType10022")  --玩法：360大玩家特权
require("Activity.ActivityType10023")  --7游戏 微信礼包
require("Activity.ActivityType10024")  --鲁大师
require("Activity.ActivityType10027")  --ku25 
require("Activity.ActivityType10028")  --QiDian
require("Activity.ActivityType10029")  --aiqiyi
require("Activity.ActivityType10030")  --yaodou
require("Activity.ActivityType10031")  --贪玩
require("Activity.ActivityType10032")  --哥们
require("Activity.ActivityType10033")  --区服冠名
require("Activity.ActivityType10034")  --2144平台福利
require("Activity.ActivityType10035")  --快玩平台福利
require("Activity.ActivityType10036")  --顺网平台福利
require("Activity.ActivityType10037")  --迅玩平台福利
require("Activity.ActivityType10038")  --神秘福袋
require("Activity.TanWanChatReport")  --贪玩聊天上报
