--怪物战斗中的说话,用于一些战斗的说话的配置
--为了实现一些战斗中的说话的特殊表现,在技能里添加一种说话的技能效果
--但是技能里不能支持字符串的配置,故在技能里配置id,将这些id对应的说话移植到这里,
--这个文件请专人管理,只能修改,不能中间插入记录,否则会是乱
--请在后面标注这个话的ID
MonserSay =
{
"我是0号,看到我证明出BUG了!咪啪~",      -- 0
"别跑！吃我一刀！",      -- 1
"看我影分身之术！",      -- 2
"感受我的雷电之力！",      -- 3
"休想避开我的攻击！距离越远，伤得越痛！",      -- 4
"出来吧，小的们！",      -- 5
"站住！",      -- 6
"吃我一锤！给我滚远点！",      -- 7
"倍化之术！",      -- 8
"不好，法术失效了！",      -- 9
"俺老猪的皮又厚了！看你们还能不能砍得动我！",      -- 10
"近我身者，必受重创！",      -- 11
"引爆吧！熔岩之力！",      -- 12
"好机会！呆子受死！",      -- 13
"<(c0xFFF11717)邪魔王：>疼死我了，不打了！不要来找我！再见！",      -- 14
"好机会！呆子受死！",      -- 15
"小心我的月魔蜘蛛！",      -- 16
"就用我的尸体，献祭给我们的王吧！",      -- 17
"接受我的诅咒吧！",      -- 18
"受死吧，我的大刀已饥渴难耐！",      -- 19
"反弹护盾！打在我身，痛在你身！",      -- 20
"哈哈哈！你们的尸体正好变成我的小牛魔！",      -- 21
"注意！我真的愤怒了！",      -- 22
"打死他们，爆件装备让我们玩玩！",      -- 23
"注意！快远离龙王的火种！",      -- 24
"携带我的火种，去炸死你的伙伴吧！哈哈哈！",      -- 25
"来吧！天外火石！",      -- 26
"燃烧吧！我的怒火！",      -- 27
"就算我不是凤凰，也可以浴火重生!",      -- 28
"不要打我，我是人类啊！",      -- 29
"冰天雪地",      -- 30
"来，变个羊吧！我最喜欢吃羊了！",      -- 31
"血！我要血！",      -- 32
"影分身之术！",      -- 33
"看着我的眼，石化吧!",      -- 34
"腐蚀一切",      -- 35
"我有一百种方法让你死亡！而你，无可奈何！",      -- 36
"出来吞噬你们的食物吧！",      -- 37
"同归于尽吧！",      -- 38
"哪里跑！",      -- 39
"奔雷过境，寸草不生！",      -- 40
"当心我的雷球！",      -- 41
"我感觉我全身充满能量！",      -- 42
"靠那么近，就是为了找死吧？",      -- 43
"不远不近，打得刚刚好！",      -- 44
"山顶的朋友你们好！",      -- 45
"巫力无边",      -- 46
"你们长得太丑了！还是做回虫子比较好看！",      -- 47
"给你们2秒钟，不逃开就准备受死吧！",      -- 48
"地狱黑风，摧毁一切！",      -- 49
"出来玩玩吧！地狱恶灵",      -- 50
"感受我的怒炎！没被灼烧的将加倍伤害！",      -- 51
"冷冷的冰雨在脸上胡乱地拍！不对，是火焰...",      -- 52
"不要打断我，我要浴火重生",      -- 53
"敢动下我试试？小心被你自己的力量反噬！",      -- 54
"别打呀！/(ㄒoㄒ)/~~~ 要被你们打出翔了",      -- 55
"什么世道，黑吃黑啊！",      -- 56
"可怜的石头，同归于尽吧！",      -- 57
"别欺负老实人好么，我都快哭了~",      -- 58
"二当家，快假装成我引开他们~",      -- 59
"行走江湖这么多年，就没见过你们这样往死里打的~",      -- 60
"我的傀儡！让他们去死吧！",      -- 61
"把头伸过来让我砸一下！",      -- 62
"用你们的死亡，化作我的力量吧！",      -- 63
"小心我的火种，炸到人可是很痛的！",      -- 64
"说出来你可能不信，是陨石自己掉下来的~",      -- 65
"我乃冥界的王，要杀你们简直易如反掌！",      -- 66
"别靠近我的狂炎，会要你命的！",      -- 67
"你的尸体，就成为我孕育尸蹩的粪土吧！哈哈",      -- 68
"我的尸蹩可是异常恐怖的",      -- 69
"行尸走肉看过没？那都是我的孩儿，你们的同类",      -- 70
"献出你们的鲜血",      -- 71
"爆炸吧！我的火种！",      -- 72
"开启吧，直达地狱的通道",      -- 73
"看我连珠箭",      -- 74
"别打了，再打就真的渣都没得剩了！",      -- 75



}
