--技能的相關文字,這裡命名規范一下
--S1L1name其中s1表示是技能1,L1表示是等級1,Name表示是名字,Desc表示說明,其他...
Skill=
{
s0Name="測試",	s0Desc="測試",
s1Name="基礎劍法",	s1Desc="<(c0xFF00FFFF)7級可以學習,技能書可以通過主線任務或者在書店購買。>",
s2Name="攻擊劍法",	s2Desc="<(c0xFF00FFFF)19級可以學習,技能書可以通過主線任務或者在書店購買。>",
s3Name="刺殺秘劍",	s3Desc="<(c0xFF00FFFF)25級可以學習,技能書可以通過主線任務或者在書店購買。>",
s4Name="弦月劍法",	s4Desc="<(c0xFF00FFFF)28級可以學習,技能書可以通過消滅25-34級的怪物獲得或者在書店購買。><(c0xFF00FF00)至尊VIP用戶可以免費激活技能。>",
s5Name="戰神衝撞",	s5Desc="<(c0xFF00FFFF)30級可以學習,技能書可以通過消滅25-34級的怪物獲得或者在書店購買。><(c0xFF00FF00)至尊VIP用戶可以免費激活技能。>",
s6Name="烈焰劍法",	s6Desc="<(c0xFF00FFFF)35級可以學習,技能書可以通過消滅25-34級的怪物獲得或者在書店購買。><(c0xFF00FF00)至尊VIP用戶可以免費激活技能。>",
s7Name="火球術",	s7Desc="<(c0xFF00FFFF)7級可以學習,技能書可以通過主線任務或者在書店購買。>",
s8Name="法術抗拒",	s8Desc="<(c0xFF00FFFF)12級可以學習,技能書可以通過主線任務或者在書店購買。>",
s9Name="天雷術",	s9Desc="<(c0xFF00FFFF)17級可以學習,技能書可以通過主線任務或者在書店購買。>",
s10Name="空間轉移",	s10Desc="<(c0xFF00FFFF)17級可以學習,技能書可以通過主線任務或者在書店購買。>",
s11Name="爆炸火球",	s11Desc="<(c0xFF00FFFF)22級可以學習,技能書可以通過主線任務或者在書店購買。>",
s12Name="火墻術",	s12Desc="<(c0xFF00FFFF)24級可以學習,技能書可以通過主線任務或者在書店購買。>",
s13Name="穿透閃電",	s13Desc="<(c0xFF00FFFF)26級可以學習,技能書可以通過消滅25-34級的怪物獲得或者在書店購買。><(c0xFF00FF00)至尊VIP用戶可以免費激活技能。>",
s14Name="神聖雷光",	s14Desc="<(c0xFF00FFFF)30級可以學習,技能書可以通過消滅25-34級的怪物獲得或者在書店購買。><(c0xFF00FF00)至尊VIP用戶可以免費激活技能。>",
s15Name="魔法護盾",	s15Desc="<(c0xFF00FFFF)31級可以學習,技能書可以通過消滅25-34級的怪物獲得或者在書店購買。><(c0xFF00FF00)至尊VIP用戶可以免費激活技能。>",
